sa0   NO   N89
sa1   NO   N89
sa0   NO   U426/Z
sa0   --   U921/A2
sa0   NO   U953/A2
sa0   NO   U953/A1
sa0   NO   U953/A3
sa0   NO   U953/Z
sa0   --   U921/A1
sa0   NO   U426/A2
sa0   NO   U426/A1
sa0   NO   U426/A3
sa0   NO   U426/A4
sa1   NC   N10729
sa1   --   U921/Z
sa1   --   U921/A1
sa1   --   U921/A2
sa1   --   U953/Z
sa1   --   U953/A3
sa1   --   U953/A1
sa1   --   U953/A2
sa1   --   U426/Z
sa1   --   U426/A4
sa1   --   U426/A1
sa1   --   U426/A2
sa1   --   U426/A3
sa1   NO   U524/A1
sa0   NO   U567/A2
sa0   --   U567/A1
sa1   NO   U567/A1
sa0   NO   U1352/A2
sa0   NO   U1352/A3
sa1   NO   U618/A2
sa0   NO   U618/A1
sa0   NO   U617/B
sa1   NO   U618/Z
sa0   --   U618/A2
sa1   --   U618/A1
sa1   --   U617/A2
sa1   NO   U617/A1
sa0   NO   U617/A1
sa0   --   U617/A2
sa0   --   U618/Z
sa1   NO   U616/B
sa1   NO   U616/A2
sa1   --   U616/A1
sa1   --   U617/Z
sa0   NO   U617/Z
sa1   --   U617/B
sa0   --   U616/A1
sa1   NO   U631/A2
sa1   --   U631/A1
sa1   NO   U1425/A2
sa1   NO   U1425/A1
sa0   NO   U1425/A2
sa0   --   U1425/A1
sa1   NC   U1235/A4
sa0   NO   U1425/Z
sa1   --   U1425/B
sa0   --   U634/A1
sa1   NO   U1432/A2
sa1   NO   U1432/A1
sa0   NO   U1432/A1
sa0   --   U1432/A2
sa1   NO   U1350/A2
sa1   NO   U1350/A3
sa1   NO   U1350/A4
sa0   NO   U1227/B1
sa1   NO   U1223/A2
sa0   NO   U1223/A1
sa1   NO   U1223/A3
sa1   NO   U1074/A2
sa1   NO   U1074/A1
sa1   NO   U1074/Z
sa0   --   U1074/A1
sa0   --   U1074/A2
sa1   --   U1350/A1
sa1   NO   U1073/A2
sa1   NO   U1073/A1
sa1   NO   U1073/Z
sa0   --   U1073/A1
sa0   --   U1073/A2
sa1   --   U1227/A1
sa0   NO   U1069/B2
sa0   NO   U1068/B1
sa0   --   U1068/B2
sa0   NO   U1049/B2
sa1   NO   U1049/B1
sa1   --   U1049/B2
sa0   NO   U1049/B1
sa1   NO   U1049/A2
sa1   NO   U1049/Z
sa1   --   U1048/B2
sa1   NO   U1048/B1
sa0   NO   U1048/B1
sa0   --   U1048/B2
sa0   --   U1049/Z
sa0   NO   U1048/A2
sa1   NO   U1048/A1
sa1   --   U1048/A2
sa0   NO   U1048/A1
sa0   NO   U1047/B2
sa1   NO   U1047/B1
sa1   --   U1047/B2
sa0   NO   U1047/B1
sa0   NO   U1048/Z
sa0   --   U1047/A2
sa1   NO   U1047/A1
sa0   NO   U1047/A1
sa1   --   U1047/A2
sa1   --   U1048/Z
sa1   NO   U1047/Z
sa1   --   U1046/B2
sa1   NO   U1046/B1
sa0   NO   U1046/B1
sa0   --   U1046/B2
sa0   --   U1047/Z
sa0   NO   U1046/A2
sa1   NO   U1046/A1
sa1   --   U1046/A2
sa0   NO   U1046/A1
sa0   NO   U988/Z
sa0   --   U1432/B
sa0   NO   U1350/Z
sa0   --   U988/B2
sa0   NO   U1223/Z
sa0   --   U988/B1
