sa0   NP   G0
sa1   NP   G0
sa0   NP   G1
sa1   NP   G1
sa0   NP   G10
sa1   NP   G10
sa0   NP   G11
sa1   NP   G11
sa0   NP   U548/A1
sa1   --   U548/A2
sa0   --   G12
sa0   NP   U548/B2
sa1   NP   U548/B1
sa1   --   U548/B2
sa0   NP   U548/B1
sa0   NP   U548/A2
sa1   NP   U548/Z
sa1   --   DFF_25/Q_reg/D
sa0   NP   U548/Z
sa0   --   DFF_25/Q_reg/D
sa1   NC   DFF_25/Q_reg/SE
sa1   NP   G12
sa1   --   U548/A1
sa0   NP   U750/Z
sa0   --   U750/A1
sa0   --   U750/A2
sa0   --   G13
sa1   NP   U750/A2
sa1   NP   U750/Z
sa1   NP   G13
sa1   --   U750/A1
sa1   NC   U845/Z
sa0   --   U845/A4
sa0   --   U845/A1
sa0   --   U845/A2
sa0   --   U845/A3
sa0   --   G16
sa0   --   U714/Z
sa1   --   U714/A
sa1   --   U846/A1
sa1   NP   U846/A2
sa0   NP   U846/Z
sa1   NP   U845/A2
sa1   NO   U845/A4
sa1   NP   U846/Z
sa0   --   U846/A2
sa0   --   U846/A1
sa0   --   U845/Z
sa1   NP   U714/Z
sa0   --   U714/A
sa1   --   U845/A3
sa1   NO   G16
sa1   --   U845/A1
sa0   NP   G2
sa1   NP   G2
sa0   NP   U602/Z
sa1   --   U602/A
sa1   --   G3
sa0   NP   G4
sa1   NP   G4
sa0   NP   G5
sa1   NP   G5
sa0   NP   G6
sa1   NP   G6
sa1   NP   U757/Z
sa0   --   U757/A
sa0   --   G7
sa0   NP   U757/Z
sa1   --   U757/A
sa1   --   G7
sa0   NP   G8
sa1   NP   G8
sa1   NP   U759/Z
sa0   --   U759/A
sa0   --   G9
sa0   NP   U759/Z
sa1   --   U759/A
sa1   --   G9
sa1   NC   test_se
sa1   NC   DFF_0/Q_reg/SE
sa1   NP   DFF_0/Q_reg/D
sa0   NP   DFF_0/Q_reg/D
sa1   NC   DFF_1/Q_reg/SE
sa1   NP   U664/Z
sa0   --   U664/A
sa1   --   DFF_1/Q_reg/D
sa0   NP   U664/Z
sa1   --   U664/A
sa0   --   DFF_1/Q_reg/D
sa1   NC   DFF_2/Q_reg/SE
sa1   NP   U929/A2
sa0   NP   U929/A2
sa1   NP   U929/A1
sa0   NP   U929/A1
sa0   NP   U929/Z
sa0   --   U721/A2
sa1   NP   U721/A1
sa1   NP   U721/Z
sa1   --   DFF_2/Q_reg/D
sa0   NP   U721/Z
sa0   --   U721/A1
sa1   --   U721/A2
